2019-05-16 17:45:27: Cannot Connect to https://mediator.goodsync.com/Z_time_checker.php: [connecting mediator.goodsync.com:443]: Time out
2019-05-16 17:46:11: -- 分析开始 User Command
2019-05-16 17:57:17: 变更：1,336， 冲突：0， 复制时间：0， 复制状态：1， 错误： 0, All: 10992
2019-05-16 17:57:17: Left to Right: Copy File: 1336 
2019-05-16 17:59:03: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_rebar_plugin.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_rebar_plugin.beam' (3,432)
2019-05-16 17:59:05: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_schema.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_schema.beam' (11,632)
2019-05-16 17:59:07: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_translation.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_translation.beam' (2,732)
2019-05-16 17:59:09: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_unit.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_unit.beam' (11,628)
2019-05-16 17:59:11: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_util.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_util.beam' (4,316)
2019-05-16 17:59:13: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_validator.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_validator.beam' (2,644)
2019-05-16 17:59:15: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_variable.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_variable.beam' (5,316)
2019-05-16 17:59:16: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_vmargs.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cuttlefish-win30/ebin/cuttlefish_vmargs.beam' (1,448)
2019-05-16 17:59:18: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cuttlefish-win30/ebin/dep_built' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cuttlefish-win30/ebin/dep_built' (0)
2019-05-16 17:59:19: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/cuttlefish-win30/priv/erlang_vm.schema' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/cuttlefish-win30/priv/erlang_vm.schema' (12,808)
2019-05-16 17:59:21: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/ecpool-0.2/ebin/dep_built' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/ecpool-0.2/ebin/dep_built' (0)
2019-05-16 17:59:23: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/ecpool-0.2/ebin/ecpool.app' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/ecpool-0.2/ebin/ecpool.app' (394)
2019-05-16 17:59:24: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/ecpool-0.2/ebin/ecpool.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/ecpool-0.2/ebin/ecpool.beam' (2,888)
2019-05-16 17:59:26: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/ecpool-0.2/ebin/ecpool_app.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/ecpool-0.2/ebin/ecpool_app.beam' (1,036)
2019-05-16 17:59:27: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/ecpool-0.2/ebin/ecpool_pool.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/ecpool-0.2/ebin/ecpool_pool.beam' (3,708)
2019-05-16 17:59:29: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/ecpool-0.2/ebin/ecpool_pool_sup.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/ecpool-0.2/ebin/ecpool_pool_sup.beam' (1,564)
2019-05-16 17:59:31: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/ecpool-0.2/ebin/ecpool_sup.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/ecpool-0.2/ebin/ecpool_sup.beam' (3,008)
2019-05-16 17:59:32: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/ecpool-0.2/ebin/ecpool_worker.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/ecpool-0.2/ebin/ecpool_worker.beam' (4,848)
2019-05-16 17:59:34: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/ecpool-0.2/ebin/ecpool_worker_sup.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/ecpool-0.2/ebin/ecpool_worker_sup.beam' (2,116)
2019-05-16 17:59:36: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/ekka-0.4.1/ebin/dep_built' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/ekka-0.4.1/ebin/dep_built' (0)
2019-05-16 17:59:37: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/ekka-0.4.1/ebin/ekka.app' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/ekka-0.4.1/ebin/ekka.app' (914)
2019-05-16 17:59:39: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/ekka-0.4.1/ebin/ekka.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/ekka-0.4.1/ebin/ekka.beam' (5,056)
2019-05-16 17:59:41: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/ekka-0.4.1/ebin/ekka_app.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/ekka-0.4.1/ebin/ekka_app.beam' (1,004)
2019-05-16 17:59:42: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/ekka-0.4.1/ebin/ekka_autoclean.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/ekka-0.4.1/ebin/ekka_autoclean.beam' (2,640)
2019-05-16 17:59:44: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/ekka-0.4.1/ebin/ekka_autocluster.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/ekka-0.4.1/ebin/ekka_autocluster.beam' (7,356)
2019-05-16 17:59:46: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/ekka-0.4.1/ebin/ekka_autoheal.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/ekka-0.4.1/ebin/ekka_autoheal.beam' (6,576)
2019-05-16 17:59:47: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/ekka-0.4.1/ebin/ekka_boot.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/ekka-0.4.1/ebin/ekka_boot.beam' (4,020)
2019-05-16 17:59:49: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/ekka-0.4.1/ebin/ekka_cluster.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/ekka-0.4.1/ebin/ekka_cluster.beam' (3,808)
2019-05-16 17:59:50: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/ekka-0.4.1/ebin/ekka_cluster_dns.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/ekka-0.4.1/ebin/ekka_cluster_dns.beam' (1,904)
2019-05-16 17:59:52: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/ekka-0.4.1/ebin/ekka_cluster_etcd.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/ekka-0.4.1/ebin/ekka_cluster_etcd.beam' (6,488)
2019-05-16 17:59:54: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/ekka-0.4.1/ebin/ekka_cluster_k8s.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/ekka-0.4.1/ebin/ekka_cluster_k8s.beam' (5,112)
2019-05-16 17:59:56: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/ekka-0.4.1/ebin/ekka_cluster_mcast.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/ekka-0.4.1/ebin/ekka_cluster_mcast.beam' (7,600)
2019-05-16 17:59:58: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/ekka-0.4.1/ebin/ekka_cluster_static.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/ekka-0.4.1/ebin/ekka_cluster_static.beam' (1,296)
2019-05-16 17:59:59: 新建复制 'D:/Data/git/Graduation project/Server/Windows/emq/lib/ekka-0.4.1/ebin/ekka_cluster_strategy.beam' -> 'msgraph://graph.microsoft.com:443/:drive:54246d4b2e018543/毕设代码/Server/Windows/emq/lib/ekka-0.4.1/ebin/ekka_cluster_strategy.beam' (1,068)
